  group,name,province,publish_date,short_bio,title,url
admin leader,张建东,北京,"（人民网资料 截至2014年11月）
","

			　　张建东，男，汉族，1962年7月出生，河北乐亭人，1982年12月加入中国共产党，1983年8月参加工作，北京师范大学教育学院教育经济与管理专业毕业，在职博士研究生学历，管理学博士，副教授。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage8298.htm
admin leader,隋振江,北京,"（人民网资料 截至2015年6月）
","

			　　隋振江，男，1963年8月生，汉族，辽宁大洼人，1984年4月入党，1985年8月参加工作，在职研究生（首都经济贸易大学企业管理专业），经济学硕士，经济师。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4023.htm
admin leader,王宁,北京,"（人民网资料 截至2015年12月）
","

			　　王宁，男，1960年12月出生，汉族，山西清徐人，1983年3月参加工作，1987年2月加入中国共产党，在职研究生学历（北京大学经济学院金融专业），经济学硕士，高级政工师。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4019.htm
admin leader,殷勇,北京,"（人民网资料 截至2018年1月）
","

			　　殷勇，男，汉族，1969年8月生，湖北武汉人，1994年5月入党，1997年1月参加工作，清华大学系统工程专业研究生毕业，工学博士。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage13886.htm
admin leader,卢彦,北京,"（人民网资料 截至2017年4月）
","

			　　卢彦，男，汉族，1963年3月生，江苏宝应人，1994年6月入党，1984年7月参加工作，北京商学院商业企业管理专业大学毕业，经济学博士，副教授。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage16627.htm
admin leader,杨斌,北京,"（人民网资料 截至2017年12月）
","

			　　杨斌，男，1961年12月生，汉族，山东昌邑人，1985年5月入党，1983年9月参加工作，北京建筑工程学院给排水专业大学毕业，在职研究生（中国人民大学产业经济专业），经济学博士，教授级高级工程师。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage11002.htm
admin leader,王红,北京,"（人民网资料 截至2018年3月）
","

			　　王红，女，满族，1962年5月生，辽宁兴城人，2000年4月加入民革，1986年8月参加工作，大学毕业(辽宁大学国际金融专业)，公共管理硕士，高级经济师。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage18695.htm
district leader,张家明,北京,"（人民网资料 截至2017年10月）
","

			　　张家明，男，汉族，1963年12月生，安徽肥东人，1985年5月加入中国共产党，1990年6月参加工作，1987年9月大学本科毕业（清华大学建筑结构工程专业），1990年6月研究生毕业（北京工业大学建筑结构工程管理专业），工学硕士，在职研究生毕业（美国罗斯福大学工商管理专业），工商管理硕士，高级经济师。",北京市东城区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4018.htm
district leader,卢映川,北京,"（人民网资料 截至2015年12月）
","

			　　卢映川，男，1968年5月生，汉族，安徽阜南人，1990年7月参加工作，1986年7月入党，中国人民大学国民经济计划专业大学毕业，在职研究生（中国人民大学国民经济学专业），经济学博士，研究员。",北京市西城区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4036.htm
district leader,王灏,北京,"（人民网资料 截至2018年4月）
","

			　　王灏，男，1967年6月生，汉族，辽宁海城人，1987年11月入党，1990年7月参加工作，阜新矿业学院采矿工程专业大学毕业，在职研究生（北京大学政治经济学专业），经济学博士，教授、高级经济师、工程师。",北京市朝阳区委书记、区长,http://ldzl.people.com.cn/dfzlk/front/personPage15367.htm
district leader,于军,北京,"（人民网资料 截至2017年9月）
","

			　　于军，男，1964年6月生，汉族，山东平度人，1985年1月入党，1987年7月参加工作，北京航空学院飞行器制造工程专业大学毕业，研究生（北京航空航天大学管理科学与工程专业），管理学博士，副研究员、讲师。",北京市海淀区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage12760.htm
district leader,汪先永,北京,"（人民网资料 截至2017年3月）
","

			　　汪先永，男，1967年7月生，汉族，安徽太湖人，1988年5月入党，1989年7月参加工作，在职研究生（北京工业大学管理科学与工程专业），管理学博士。",北京市丰台区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4993.htm
district leader,于长辉,北京,"（人民网资料 截至2018年4月）
","

			　　于长辉，男，1962年11月生，汉族，辽宁东港人，1991年12月入党，1985年7月参加工作，吉林工业大学内燃机专业大学毕业，工商管理硕士，工程师。",北京市石景山区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage18803.htm
district leader,张力兵,北京,"（人民网资料 截至2018年4月）
","

			　　张力兵，男，1963年8月生，汉族，北京人，1993年9月入党，1985年8月参加工作，北京建筑工程学院工业与民用建筑专业大学毕业，高级工程师。",北京市门头沟区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16166.htm
district leader,陈清,北京,"（人民网资料 截至2018年1月）
","

			　　陈清，男，1966年1月生，汉族，吉林吉林人，1992年6月入党，1983年7月参加工作，市委党校研究生（北京市委党校党建专业），高级政工师。",北京市房山区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15592.htm
district leader,曾赞荣,北京,"（人民网资料 截至2017年12月）
","

			　　曾赞荣，男，1969年8月出生，汉族，湖南邵东人，研究生毕业，理学硕士、高级工程师，1987年10月加入中国共产党，1992年7月参加工作。",北京市通州区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage11006.htm
district leader,高朋,北京,"（人民网资料 截至2018年4月）
","

			　　高朋，男，汉族，1972年7月生，辽宁凤城人，1996年6月入党，1996年8月参加工作，东北财经大学投资经济专业大学毕业，在职研究生(西南财经大学金融学专业)，经济学博士，高级经济师。",北京市顺义区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15395.htm
