group,link,name,province,title
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage6469.htm,多吉次珠,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage6470.htm,坚参,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage15564.htm,刘江,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage4788.htm,汪海洲,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage16522.htm,石谋军,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage4754.htm,张永泽,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage4751.htm,张延清,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18710.htm,罗梅,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18711.htm,孟晓林,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18712.htm,江白,西藏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage5012.htm,白玛旺堆,西藏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage5011.htm,阿布,西藏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16805.htm,许成仓,西藏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4751.htm,张延清,西藏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage5017.htm,松吉扎西,西藏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage14895.htm,朱中奎,西藏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16019.htm,马升昌,西藏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage7403.htm,果果,西藏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16635.htm,陈军,西藏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage14848.htm,普布顿珠,西藏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage15129.htm,刘虎山,西藏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage15747.htm,敖刘全,西藏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16406.htm,彭措,西藏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage5013.htm,旺堆,西藏,市（区、州）长行署专员
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6022.htm,胡和平,陕西,省委书记
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6022.htm,胡和平,陕西,省人大主任
top four,http://ldzl.people.com.cn/dfzlk/front/personPage15511.htm,刘国中,陕西,省长
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6709.htm,韩勇,陕西,省政协主席
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6022.htm,胡和平,陕西,书 　 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage15511.htm,刘国中,陕西,副 书 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16604.htm,贺荣,陕西,副 书 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6429.htm,张广智,陕西,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage14906.htm,梁桂,陕西,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4769.htm,徐新荣,陕西,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4300.htm,王永康,陕西,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6562.htm,庄长兴,陕西,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage11897.htm,杜航伟,陕西,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4767.htm,姜锋,陕西,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage5006.htm,钱引安,陕西,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage18833.htm,王兴宁,陕西,其他常委：
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage14906.htm,梁桂,陕西,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage4779.htm,魏增军,陕西,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage4776.htm,陆治原,陕西,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18714.htm,陈国强,陕西,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18715.htm,胡明朗,陕西,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4300.htm,王永康,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12290.htm,杨长亚,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4778.htm,徐启方,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12284.htm,岳亮,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12200.htm,李明远,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4769.htm,徐新荣,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4774.htm,王建军,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16631.htm,戴征社,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4777.htm,郭青,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4780.htm,陈俊,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage7368.htm,郭社荣,陕西,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4766.htm,上官吉庆,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage5347.htm,李智远,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage15464.htm,惠进才,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4768.htm,卫华,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage5091.htm,李毅,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16163.htm,薛占海,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16410.htm,方红卫,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage18767.htm,李春临,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage7003.htm,赵俊民,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage15980.htm,郑光照,陕西,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage.htm,空缺,陕西,市（区、州）长行署专员
top four,http://ldzl.people.com.cn/dfzlk/front/personPage15559.htm,林铎,甘肃,省委书记
top four,http://ldzl.people.com.cn/dfzlk/front/personPage15559.htm,林铎,甘肃,省人大主任
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6370.htm,唐仁健,甘肃,省长
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6613.htm,欧阳坚,甘肃,省政协主席
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage15559.htm,林铎,甘肃,书 　 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6370.htm,唐仁健,甘肃,副 书 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6189.htm,孙伟,甘肃,副 书 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6635.htm,李荣灿,甘肃,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4831.htm,马廷礼,甘肃,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4354.htm,刘昌林,甘肃,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage12175.htm,马世忠,甘肃,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage15369.htm,宋亮,甘肃,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4804.htm,陈青,甘肃,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16778.htm,王嘉毅,甘肃,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage18623.htm,蒲永能,甘肃,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage18674.htm,李元平,甘肃,其他常委：
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage15369.htm,宋亮,甘肃,"
            
	      		副 省 长 ： 
	      		
            	
	      	"
